composition,Atoms,isovalent
Rb6Pb1I8,"[6, 1, 8]",False
Rb6Pb5I1,"[6, 5, 1]",False
Rb7Pb1I6,"[7, 1, 6]",False
Rb7Pb1I9,"[7, 1, 9]",False
Rb7Pb2I5,"[7, 2, 5]",False
Rb7Pb2I11,"[7, 2, 11]",False
Rb7Pb3I4,"[7, 3, 4]",False
Rb7Pb4I3,"[7, 4, 3]",False
Rb7Pb5I2,"[7, 5, 2]",False
Rb7Pb6I1,"[7, 6, 1]",False
Rb8Pb1I7,"[8, 1, 7]",False
Rb8Pb1I10,"[8, 1, 10]",False
Rb8Pb3I5,"[8, 3, 5]",False
Rb8Pb5I3,"[8, 5, 3]",False
Rb8Pb7I1,"[8, 7, 1]",False
Rb9Pb1I8,"[9, 1, 8]",False
Rb9Pb2I7,"[9, 2, 7]",False
Rb9Pb4I5,"[9, 4, 5]",False
Rb9Pb5I4,"[9, 5, 4]",False
Rb9Pb7I2,"[9, 7, 2]",False
Rb9Pb8I1,"[9, 8, 1]",False
Rb10Pb1I9,"[10, 1, 9]",False
Rb10Pb3I7,"[10, 3, 7]",False
Rb10Pb7I3,"[10, 7, 3]",False
Rb10Pb9I1,"[10, 9, 1]",False
Rb1Sb1Br4,"[1, 1, 4]",True
Rb1Sb2Br7,"[1, 2, 7]",True
Rb1Sb3Br10,"[1, 3, 10]",False
Rb1Sb4Br13,"[1, 4, 13]",False
Rb2Sb1Br5,"[2, 1, 5]",True
Rb2Sb3Br11,"[2, 3, 11]",False
Rb3Sb1Br6,"[3, 1, 6]",True
Rb3Sb2Br9,"[3, 2, 9]",True
Rb4Sb1Br1,"[4, 1, 1]",False
Rb4Sb1Br7,"[4, 1, 7]",False
Rb4Sb3Br13,"[4, 3, 13]",False
Rb5Sb1Br2,"[5, 1, 2]",False
Rb5Sb1Br8,"[5, 1, 8]",False
Rb5Sb2Br11,"[5, 2, 11]",False
Rb6Sb1Br3,"[6, 1, 3]",False
Rb6Sb1Br9,"[6, 1, 9]",False
Rb7Sb1Br4,"[7, 1, 4]",False
Rb7Sb1Br10,"[7, 1, 10]",False
Rb7Sb2Br1,"[7, 2, 1]",False
Rb8Sb1Br5,"[8, 1, 5]",False
Rb8Sb1Br11,"[8, 1, 11]",False
Rb9Sb1Br6,"[9, 1, 6]",False
Rb9Sb2Br3,"[9, 2, 3]",False
Rb10Sb1Br7,"[10, 1, 7]",False
Rb10Sb3Br1,"[10, 3, 1]",False
Rb11Sb1Br8,"[11, 1, 8]",False
Rb11Sb2Br5,"[11, 2, 5]",False
Rb11Sb3Br2,"[11, 3, 2]",False
Rb13Sb3Br4,"[13, 3, 4]",False
Rb13Sb4Br1,"[13, 4, 1]",False
Rb1Sb1I4,"[1, 1, 4]",True
Rb1Sb2I7,"[1, 2, 7]",True
Rb1Sb3I10,"[1, 3, 10]",False
Rb1Sb4I13,"[1, 4, 13]",False
Rb2Sb1I5,"[2, 1, 5]",True
Rb2Sb3I11,"[2, 3, 11]",False
Rb3Sb1I6,"[3, 1, 6]",True
Rb3Sb2I9,"[3, 2, 9]",True
Rb4Sb1I1,"[4, 1, 1]",False
Rb4Sb1I7,"[4, 1, 7]",False
Rb4Sb3I13,"[4, 3, 13]",False
Rb5Sb1I2,"[5, 1, 2]",False
Rb5Sb1I8,"[5, 1, 8]",False
Rb5Sb2I11,"[5, 2, 11]",False
Rb6Sb1I3,"[6, 1, 3]",False
Rb6Sb1I9,"[6, 1, 9]",False
Rb7Sb1I4,"[7, 1, 4]",False
Rb7Sb1I10,"[7, 1, 10]",False
Rb7Sb2I1,"[7, 2, 1]",False
Rb8Sb1I5,"[8, 1, 5]",False
Rb8Sb1I11,"[8, 1, 11]",False
Rb9Sb1I6,"[9, 1, 6]",False
Rb9Sb2I3,"[9, 2, 3]",False
Rb10Sb1I7,"[10, 1, 7]",False
Rb10Sb3I1,"[10, 3, 1]",False
Rb11Sb1I8,"[11, 1, 8]",False
Rb11Sb2I5,"[11, 2, 5]",False
Rb11Sb3I2,"[11, 3, 2]",False
Rb13Sb3I4,"[13, 3, 4]",False
Rb13Sb4I1,"[13, 4, 1]",False
Rb1Sn1Br5,"[1, 1, 5]",False
Rb1Sn2Br9,"[1, 2, 9]",False
Rb1Sn3Br13,"[1, 3, 13]",False
Rb2Sn1Br6,"[2, 1, 6]",True
Rb2Sn3Br14,"[2, 3, 14]",False
Rb3Sn1Br7,"[3, 1, 7]",False
Rb3Sn2Br11,"[3, 2, 11]",False
Rb4Sn1Br8,"[4, 1, 8]",False
Rb5Sn1Br9,"[5, 1, 9]",False
Rb5Sn2Br13,"[5, 2, 13]",False
Rb6Sn1Br10,"[6, 1, 10]",False
Rb7Sn1Br11,"[7, 1, 11]",False
Rb1Sn1I5,"[1, 1, 5]",False
Rb1Sn2I9,"[1, 2, 9]",False
Rb1Sn3I13,"[1, 3, 13]",False
Rb2Sn1I6,"[2, 1, 6]",True
Rb2Sn3I14,"[2, 3, 14]",False
Rb3Sn1I7,"[3, 1, 7]",False
Rb3Sn2I11,"[3, 2, 11]",False
Rb4Sn1I8,"[4, 1, 8]",False
Rb5Sn1I9,"[5, 1, 9]",False
Rb5Sn2I13,"[5, 2, 13]",False
Rb6Sn1I10,"[6, 1, 10]",False
Rb7Sn1I11,"[7, 1, 11]",False
Rb1In1Br4,"[1, 1, 4]",True
Rb1In2Br7,"[1, 2, 7]",True
Rb1In3Br10,"[1, 3, 10]",False
Rb1In4Br13,"[1, 4, 13]",False
Rb2In1Br5,"[2, 1, 5]",True
Rb2In3Br11,"[2, 3, 11]",False
Rb3In1Br6,"[3, 1, 6]",True
Rb3In2Br9,"[3, 2, 9]",True
Rb4In1Br7,"[4, 1, 7]",False
Rb4In3Br13,"[4, 3, 13]",False
Rb5In1Br8,"[5, 1, 8]",False
Rb5In2Br11,"[5, 2, 11]",False
Rb6In1Br9,"[6, 1, 9]",False
Rb7In1Br10,"[7, 1, 10]",False
Rb8In1Br11,"[8, 1, 11]",False
Rb1In1I4,"[1, 1, 4]",True
Rb1In2I7,"[1, 2, 7]",True
Rb1In3I10,"[1, 3, 10]",False
Rb1In4I13,"[1, 4, 13]",False
Rb2In1I5,"[2, 1, 5]",True
Rb2In3I11,"[2, 3, 11]",False
Rb3In1I6,"[3, 1, 6]",True
Rb3In2I9,"[3, 2, 9]",True
Rb4In1I7,"[4, 1, 7]",False
Rb4In3I13,"[4, 3, 13]",False
Rb5In1I8,"[5, 1, 8]",False
Rb5In2I11,"[5, 2, 11]",False
Rb6In1I9,"[6, 1, 9]",False
Rb7In1I10,"[7, 1, 10]",False
Rb8In1I11,"[8, 1, 11]",False
Cs1Bi1Br4,"[1, 1, 4]",True
Cs1Bi2Br7,"[1, 2, 7]",True
Cs1Bi3Br10,"[1, 3, 10]",False
Cs1Bi4Br13,"[1, 4, 13]",False
Cs2Bi1Br5,"[2, 1, 5]",True
Cs2Bi3Br11,"[2, 3, 11]",False
Cs3Bi1Br6,"[3, 1, 6]",True
Cs3Bi2Br9,"[3, 2, 9]",True
Cs4Bi1Br7,"[4, 1, 7]",False
Cs4Bi3Br13,"[4, 3, 13]",False
Cs5Bi1Br8,"[5, 1, 8]",False
Cs5Bi2Br11,"[5, 2, 11]",False
Cs6Bi1Br9,"[6, 1, 9]",False
Cs7Bi1Br10,"[7, 1, 10]",False
Cs8Bi1Br11,"[8, 1, 11]",False
Cs1Bi1I4,"[1, 1, 4]",True
Cs1Bi2I7,"[1, 2, 7]",True
Cs1Bi3I10,"[1, 3, 10]",False
Cs1Bi4I13,"[1, 4, 13]",False
Cs2Bi1I5,"[2, 1, 5]",True
Cs2Bi3I11,"[2, 3, 11]",False
Cs3Bi1I6,"[3, 1, 6]",True
Cs3Bi2I9,"[3, 2, 9]",True
Cs4Bi1I7,"[4, 1, 7]",False
Cs4Bi3I13,"[4, 3, 13]",False
Cs5Bi1I8,"[5, 1, 8]",False
Cs5Bi2I11,"[5, 2, 11]",False
Cs6Bi1I9,"[6, 1, 9]",False
Cs7Bi1I10,"[7, 1, 10]",False
Cs8Bi1I11,"[8, 1, 11]",False
Cs1Pb1Br3,"[1, 1, 3]",True
Cs1Pb2Br5,"[1, 2, 5]",True
Cs1Pb3Br7,"[1, 3, 7]",False
Cs1Pb4Br9,"[1, 4, 9]",False
Cs1Pb5Br11,"[1, 5, 11]",False
Cs1Pb6Br13,"[1, 6, 13]",False
Cs2Pb1Br1,"[2, 1, 1]",False
Cs2Pb1Br4,"[2, 1, 4]",False
Cs2Pb3Br8,"[2, 3, 8]",False
Cs2Pb5Br12,"[2, 5, 12]",False
Cs3Pb1Br2,"[3, 1, 2]",False
Cs3Pb1Br5,"[3, 1, 5]",True
Cs3Pb2Br1,"[3, 2, 1]",False
Cs3Pb2Br7,"[3, 2, 7]",False
Cs3Pb4Br11,"[3, 4, 11]",False
Cs4Pb1Br3,"[4, 1, 3]",False
Cs4Pb1Br6,"[4, 1, 6]",True
Cs4Pb3Br1,"[4, 3, 1]",False
Cs4Pb3Br10,"[4, 3, 10]",False
Cs5Pb1Br4,"[5, 1, 4]",False
Cs5Pb1Br7,"[5, 1, 7]",False
Cs5Pb2Br3,"[5, 2, 3]",False
Cs5Pb2Br9,"[5, 2, 9]",False
Cs5Pb3Br2,"[5, 3, 2]",False
Cs5Pb3Br11,"[5, 3, 11]",False
Cs5Pb4Br1,"[5, 4, 1]",False
Cs6Pb1Br5,"[6, 1, 5]",False
Cs6Pb1Br8,"[6, 1, 8]",False
Cs6Pb5Br1,"[6, 5, 1]",False
Cs7Pb1Br6,"[7, 1, 6]",False
Cs7Pb1Br9,"[7, 1, 9]",False
Cs7Pb2Br5,"[7, 2, 5]",False
Cs7Pb2Br11,"[7, 2, 11]",False
Cs7Pb3Br4,"[7, 3, 4]",False
Cs7Pb4Br3,"[7, 4, 3]",False
Cs7Pb5Br2,"[7, 5, 2]",False
Cs7Pb6Br1,"[7, 6, 1]",False
Cs8Pb1Br7,"[8, 1, 7]",False
Cs8Pb1Br10,"[8, 1, 10]",False
Cs8Pb3Br5,"[8, 3, 5]",False
Cs8Pb5Br3,"[8, 5, 3]",False
Cs8Pb7Br1,"[8, 7, 1]",False
Cs9Pb1Br8,"[9, 1, 8]",False
Cs9Pb2Br7,"[9, 2, 7]",False
Cs9Pb4Br5,"[9, 4, 5]",False
Cs9Pb5Br4,"[9, 5, 4]",False
Cs9Pb7Br2,"[9, 7, 2]",False
Cs9Pb8Br1,"[9, 8, 1]",False
Cs10Pb1Br9,"[10, 1, 9]",False
Cs10Pb3Br7,"[10, 3, 7]",False
Cs10Pb7Br3,"[10, 7, 3]",False
Cs10Pb9Br1,"[10, 9, 1]",False
Cs1Pb1I3,"[1, 1, 3]",True
Cs1Pb2I5,"[1, 2, 5]",True
Cs1Pb3I7,"[1, 3, 7]",False
Cs1Pb4I9,"[1, 4, 9]",False
Cs1Pb5I11,"[1, 5, 11]",False
Cs1Pb6I13,"[1, 6, 13]",False
Cs2Pb1I1,"[2, 1, 1]",False
Cs2Pb1I4,"[2, 1, 4]",False
Cs2Pb3I8,"[2, 3, 8]",False
Cs2Pb5I12,"[2, 5, 12]",False
Cs3Pb1I2,"[3, 1, 2]",False
Cs3Pb1I5,"[3, 1, 5]",True
Cs3Pb2I1,"[3, 2, 1]",False
Cs3Pb2I7,"[3, 2, 7]",False
Cs3Pb4I11,"[3, 4, 11]",False
Cs4Pb1I3,"[4, 1, 3]",False
Cs4Pb1I6,"[4, 1, 6]",True
Cs4Pb3I1,"[4, 3, 1]",False
Cs4Pb3I10,"[4, 3, 10]",False
Cs5Pb1I4,"[5, 1, 4]",False
Cs5Pb1I7,"[5, 1, 7]",False
Cs5Pb2I3,"[5, 2, 3]",False
Cs5Pb2I9,"[5, 2, 9]",False
Cs5Pb3I2,"[5, 3, 2]",False
Cs5Pb3I11,"[5, 3, 11]",False
Cs5Pb4I1,"[5, 4, 1]",False
Cs6Pb1I5,"[6, 1, 5]",False
Cs6Pb1I8,"[6, 1, 8]",False
Cs6Pb5I1,"[6, 5, 1]",False
Cs7Pb1I6,"[7, 1, 6]",False
Cs7Pb1I9,"[7, 1, 9]",False
Cs7Pb2I5,"[7, 2, 5]",False
Cs7Pb2I11,"[7, 2, 11]",False
Cs7Pb3I4,"[7, 3, 4]",False
Cs7Pb4I3,"[7, 4, 3]",False
Cs7Pb5I2,"[7, 5, 2]",False
Cs7Pb6I1,"[7, 6, 1]",False
Cs8Pb1I7,"[8, 1, 7]",False
Cs8Pb1I10,"[8, 1, 10]",False
Cs8Pb3I5,"[8, 3, 5]",False
Cs8Pb5I3,"[8, 5, 3]",False
Cs8Pb7I1,"[8, 7, 1]",False
Cs9Pb1I8,"[9, 1, 8]",False
Cs9Pb2I7,"[9, 2, 7]",False
Cs9Pb4I5,"[9, 4, 5]",False
Cs9Pb5I4,"[9, 5, 4]",False
Cs9Pb7I2,"[9, 7, 2]",False
Cs9Pb8I1,"[9, 8, 1]",False
Cs10Pb1I9,"[10, 1, 9]",False
Cs10Pb3I7,"[10, 3, 7]",False
Cs10Pb7I3,"[10, 7, 3]",False
Cs10Pb9I1,"[10, 9, 1]",False
Cs1Sb1Br4,"[1, 1, 4]",True
Cs1Sb2Br7,"[1, 2, 7]",True
Cs1Sb3Br10,"[1, 3, 10]",False
Cs1Sb4Br13,"[1, 4, 13]",False
Cs2Sb1Br5,"[2, 1, 5]",True
Cs2Sb3Br11,"[2, 3, 11]",False
Cs3Sb1Br6,"[3, 1, 6]",True
Cs3Sb2Br9,"[3, 2, 9]",True
Cs4Sb1Br1,"[4, 1, 1]",False
Cs4Sb1Br7,"[4, 1, 7]",False
Cs4Sb3Br13,"[4, 3, 13]",False
Cs5Sb1Br2,"[5, 1, 2]",False
Cs5Sb1Br8,"[5, 1, 8]",False
Cs5Sb2Br11,"[5, 2, 11]",False
Cs6Sb1Br3,"[6, 1, 3]",False
Cs6Sb1Br9,"[6, 1, 9]",False
Cs7Sb1Br4,"[7, 1, 4]",False
Cs7Sb1Br10,"[7, 1, 10]",False
Cs7Sb2Br1,"[7, 2, 1]",False
Cs8Sb1Br5,"[8, 1, 5]",False
Cs8Sb1Br11,"[8, 1, 11]",False
Cs9Sb1Br6,"[9, 1, 6]",False
Cs9Sb2Br3,"[9, 2, 3]",False
Cs10Sb1Br7,"[10, 1, 7]",False
Cs10Sb3Br1,"[10, 3, 1]",False
Cs11Sb1Br8,"[11, 1, 8]",False
Cs11Sb2Br5,"[11, 2, 5]",False
Cs11Sb3Br2,"[11, 3, 2]",False
Cs13Sb3Br4,"[13, 3, 4]",False
Cs13Sb4Br1,"[13, 4, 1]",False
Cs1Sb1I4,"[1, 1, 4]",True
Cs1Sb2I7,"[1, 2, 7]",True
Cs1Sb3I10,"[1, 3, 10]",False
Cs1Sb4I13,"[1, 4, 13]",False
Cs2Sb1I5,"[2, 1, 5]",True
Cs2Sb3I11,"[2, 3, 11]",False
Cs3Sb1I6,"[3, 1, 6]",True
Cs3Sb2I9,"[3, 2, 9]",True
Cs4Sb1I1,"[4, 1, 1]",False
Cs4Sb1I7,"[4, 1, 7]",False
Cs4Sb3I13,"[4, 3, 13]",False
Cs5Sb1I2,"[5, 1, 2]",False
Cs5Sb1I8,"[5, 1, 8]",False
Cs5Sb2I11,"[5, 2, 11]",False
Cs6Sb1I3,"[6, 1, 3]",False
Cs6Sb1I9,"[6, 1, 9]",False
Cs7Sb1I4,"[7, 1, 4]",False
Cs7Sb1I10,"[7, 1, 10]",False
Cs7Sb2I1,"[7, 2, 1]",False
Cs8Sb1I5,"[8, 1, 5]",False
Cs8Sb1I11,"[8, 1, 11]",False
Cs9Sb1I6,"[9, 1, 6]",False
Cs9Sb2I3,"[9, 2, 3]",False
Cs10Sb1I7,"[10, 1, 7]",False
Cs10Sb3I1,"[10, 3, 1]",False
Cs11Sb1I8,"[11, 1, 8]",False
Cs11Sb2I5,"[11, 2, 5]",False
Cs11Sb3I2,"[11, 3, 2]",False
Cs13Sb3I4,"[13, 3, 4]",False
Cs13Sb4I1,"[13, 4, 1]",False
Cs1Sn1Br5,"[1, 1, 5]",False
Cs1Sn2Br9,"[1, 2, 9]",False
Cs1Sn3Br13,"[1, 3, 13]",False
Cs2Sn1Br6,"[2, 1, 6]",True
Cs2Sn3Br14,"[2, 3, 14]",False
Cs3Sn1Br7,"[3, 1, 7]",False
Cs3Sn2Br11,"[3, 2, 11]",False
Cs4Sn1Br8,"[4, 1, 8]",False
Cs5Sn1Br9,"[5, 1, 9]",False
Cs5Sn2Br13,"[5, 2, 13]",False
Cs6Sn1Br10,"[6, 1, 10]",False
Cs7Sn1Br11,"[7, 1, 11]",False
Cs1Sn1I5,"[1, 1, 5]",False
Cs1Sn2I9,"[1, 2, 9]",False
Cs1Sn3I13,"[1, 3, 13]",False
Cs2Sn1I6,"[2, 1, 6]",True
Cs2Sn3I14,"[2, 3, 14]",False
Cs3Sn1I7,"[3, 1, 7]",False
Cs3Sn2I11,"[3, 2, 11]",False
Cs4Sn1I8,"[4, 1, 8]",False
Cs5Sn1I9,"[5, 1, 9]",False
Cs5Sn2I13,"[5, 2, 13]",False
Cs6Sn1I10,"[6, 1, 10]",False
Cs7Sn1I11,"[7, 1, 11]",False
Cs1In1Br4,"[1, 1, 4]",True
Cs1In2Br7,"[1, 2, 7]",True
Cs1In3Br10,"[1, 3, 10]",False
Cs1In4Br13,"[1, 4, 13]",False
Cs2In1Br5,"[2, 1, 5]",True
Cs2In3Br11,"[2, 3, 11]",False
Cs3In1Br6,"[3, 1, 6]",True
Cs3In2Br9,"[3, 2, 9]",True
Cs4In1Br7,"[4, 1, 7]",False
Cs4In3Br13,"[4, 3, 13]",False
Cs5In1Br8,"[5, 1, 8]",False
Cs5In2Br11,"[5, 2, 11]",False
Cs6In1Br9,"[6, 1, 9]",False
Cs7In1Br10,"[7, 1, 10]",False
Cs8In1Br11,"[8, 1, 11]",False
Cs1In1I4,"[1, 1, 4]",True
Cs1In2I7,"[1, 2, 7]",True
Cs1In3I10,"[1, 3, 10]",False
Cs1In4I13,"[1, 4, 13]",False
Cs2In1I5,"[2, 1, 5]",True
Cs2In3I11,"[2, 3, 11]",False
Cs3In1I6,"[3, 1, 6]",True
Cs3In2I9,"[3, 2, 9]",True
Cs4In1I7,"[4, 1, 7]",False
Cs4In3I13,"[4, 3, 13]",False
Cs5In1I8,"[5, 1, 8]",False
Cs5In2I11,"[5, 2, 11]",False
Cs6In1I9,"[6, 1, 9]",False
Cs7In1I10,"[7, 1, 10]",False
Cs8In1I11,"[8, 1, 11]",False
