material_id,pretty_formula,icsd_ids
mp-1203654,La2Si(IO2)2,[72654]
mp-1204701,Cd(NO3)2,[60931]
mp-1205438,SrCuH4(CO2)4,[150120]
mp-12277,CaAgP,[10016]
mp-12728,EuTmCuS3,[55672]
mp-1274,CoS,"[601338, 624857, 624842, 624831, 29305, 657109]"
mp-1278,Zr2Si,"[652615, 652618, 24717, 42522]"
mp-12902,ErAgTe2,"[154791, 605120]"
mp-13430,Nd2AlCo2,[107401]
mp-13829,TlCu3S2,[23290]
mp-14651,Zr2AgPdF11,[65181]
mp-15643,SrMgGe,[42458]
mp-17045,Hf3Rh5,[104267]
mp-18559,LaSiNO2,[9752]
mp-19340,LiVO2,"[202541, 202540, 24594]"
mp-19462,KP2WO8,[93527]
mp-19723,InAuO2,[95672]
mp-20405,V2Ga5,"[635614, 635606, 104026, 635645, 151105, 635642]"
mp-21597,Ce3(GeRh)2,[76352]
mp-22005,V2Pb2O7,"[21020, 2901]"
mp-22192,Si3Ru2,"[95586, 2344, 56644, 42122, 650619]"
mp-22344,Sn7Ru3,"[150763, 54510, 54511]"
mp-23333,Hg3Cl4O,"[28377, 27169, 28782, 35649]"
mp-23521,Rb2CrCl4,"[9857, 9858]"
mp-23776,BeH8(ClO2)2,[417642]
mp-23939,H2O2,"[41531, 34253, 28067, 28068, 41532]"
mp-24303,Mg3P4H48(NO15)2,"[170694, 172340]"
mp-24721,RbH,"[56084, 69596, 69595, 183292, 262017]"
mp-27146,Cs2Sb4S7,[2193]
mp-27191,Zr9S2,[2774]
mp-27280,Na2MnCl4,[9136]
mp-27356,AsO2,[10436]
mp-27597,K2Mo2O7,[20133]
mp-28072,La2Be2O5,[36063]
mp-28140,P2Pb3S8,"[647907, 36473]"
mp-2847,ErB4,"[68305, 613697, 68650, 44214, 613713]"
mp-28836,TeCF2,[73583]
mp-29641,GeSb4Te7,[42875]
mp-29717,Ag(W3Br7)2,[410958]
mp-29748,TePdI,[50987]
mp-2980,Pr2Te4O11,"[96264, 413655]"
mp-30185,BaSi23,"[94262, 191762]"
mp-30248,LiMoS2,"[95571, 150688]"
mp-3071,Nd3Ni13B2,"[153018, 86374, 614944]"
mp-31060,Rb4(BS)9,[98521]
mp-314,Th3Ge2,"[638034, 44503, 638039]"
mp-3151,Li3TaO4,"[281301, 37126]"
mp-31627,Ba2NbCrO6,[81844]
mp-3419,RbAuF4,"[9907, 33952]"
mp-3574,MnAlCu2,"[151203, 57695, 185281, 607017, 159135, 607016, 607012, 607009, 607008, 607011, 607010, 607014]"
mp-384,MgP4,"[23555, 42030, 113]"
mp-3895,Ho(SiRh)2,"[601409, 639634, 639629, 602159, 55766, 56241]"
mp-397,KCd13,"[620061, 620063, 102002, 415885]"
mp-4240,RbCeTe2,"[413329, 98658]"
mp-504946,Nb2P4O15,[62471]
mp-505176,Co2P2H4O9,[74293]
mp-505618,Ba2CuWO6,"[88700, 72813]"
mp-505771,K2NaH5(CO4)2,"[77359, 405228]"
mp-510380,Mn3CuN,[628356]
mp-510629,K2Co3H6S3O16,"[38304, 418495]"
mp-540695,Cs2DyCl5,[16409]
mp-540904,ThI3,[32681]
mp-541183,Ta2NiSe7,"[41619, 61352]"
mp-541204,As2S3(NF6)2,[54159]
mp-542933,TbMg2Cu9,[416327]
mp-549475,TbBi2BrO4,[92416]
mp-552547,SrBiIO2,[97510]
mp-554056,Ca2B5BrO9,"[166560, 18001]"
mp-554160,K2CuP2O7,[79916]
mp-554288,NaPH4O5,[5]
mp-554919,Tl4Mo5O17,[48138]
mp-557525,Li2Mo4O13,[416695]
mp-558853,AsC3N3F8,[67817]
mp-5591,U(NiGe)2,"[150835, 637429, 246599, 53864, 637428, 658993]"
mp-559151,BaSrTa2O7,[99953]
mp-559638,K3NpO2F5,[63345]
mp-559713,Fe3(P2O7)2,[71129]
mp-559984,Rb8AlAu3O4,[411730]
mp-560210,CaH2(CO2)2,"[151250, 151251]"
mp-561954,TmCoO3,[172050]
mp-562436,NaCoPO4,[84709]
mp-565354,LaP5Cl18O17,[80809]
mp-567458,Ho(PRu)2,[602102]
mp-568139,NdInAu2,[58500]
mp-568796,RbYbI3,[86314]
mp-568814,HoSnAu,[55001]
mp-5690,GdScO3,"[65513, 99543]"
mp-569603,BaCa4(CuN2)2,[86066]
mp-571066,K6Sn25,[407876]
mp-581967,Nb2O5,[16605]
mp-605034,K2NiF6,"[41416, 6046]"
mp-613327,Fe(BW)2,[43016]
mp-613545,RhSe2Cl7,[39583]
mp-6164,Sr4MoN4O,"[280198, 280276]"
mp-617840,Ba3Ce2C5O15F2,[49630]
mp-643009,SrMgH4,[71993]
mp-652196,Cu2Bi4Pb2S9,[60156]
mp-662523,SrTeO3,[74396]
mp-667342,Bi12PbO20,[75392]
mp-667803,Nd2Cu2O5,[80030]
mp-676040,NiPS3,"[602341, 646133, 657314]"
mp-680119,CdI2,"[108931, 42245]"
mp-697905,LaMg2NiH7,[96153]
mp-703398,CuH20Se2(NO7)2,[26331]
mp-707473,InP(H2O3)2,[80297]
mp-7095,CeCoSi2,"[16501, 620786]"
mp-743814,FeP2H2O9,[65648]
mp-758895,Ta2Tl2P7HO24,[250112]
mp-7739,Ba2ZnF6,[21054]
mp-8244,Ti5TlSe8,"[37121, 652059]"
mp-862780,K2InP2S7,[248034]
mp-867324,Tb2Ni12As7,[611080]
mp-8812,Rb2GeF6,[68982]
mp-8982,CaSiPt,[72641]
mp-9023,ScSiAu,[71998]
mp-9910,K2Pd3S4,[41885]
mp-9934,BaMgSi,"[42459, 191039]"
mp-999335,NdRh,[645758]
mp-1018799,MgSc3Ru2,[427124]
mp-10316,CeCdAsO,[88268]
mp-1077393,TmB2Ir3,[614571]
mp-1078586,UGaCo,"[623225, 600395, 164348, 623224, 623222]"
mp-108,U,"[181305, 52536, 44392, 653380, 248403, 653371]"
mp-1080382,ErInPt4,[630697]
mp-1080489,HfGeRu,[636584]
mp-1095128,TiPOs,[647718]
mp-1101871,Sm2Ga8Co,"[623182, 623174]"
mp-1102084,DyTc2,[630325]
mp-1102399,Fe2P2O7,[17062]
mp-1105709,Cs3V(Cl3O2)2,[26528]
mp-1136,Na3As,"[182162, 69676, 26883]"
mp-1181025,KAu(Br2O)2,[26652]
mp-1181479,FeAs2Pb4(ClO2)4,[73998]
mp-1182662,BaCu(SiO3)2,[247210]
mp-1188260,Ba2CdP3O11,[92302]
mp-1189107,CsTi2Cl7,[67168]
mp-1189986,Ca3(GaP2)2,[423781]
mp-1191597,Sm3SbO7,[246733]
mp-1191644,H2S,[168207]
mp-1191750,Sm3GaFeS7,[236396]
mp-1193763,Cu3Mo2O9,[190444]
mp-1193912,Ti3(Ni10B3)2,[615043]
mp-1194348,Eu3GaP3,[402226]
mp-1194460,Mg3Si2O9,[413633]
mp-1194472,MnSb2(OF4)2,[62487]
mp-1195083,FeH12C2(NCl2)2,"[194015, 194006, 194019, 194004, 194005, 194003, 194018, 194025, 194024]"
mp-1195190,Ba4Fe3(Se3F2)2,[239440]
mp-1195337,Ir(SeBr3)3,[429857]
mp-1195582,La8Sb2S15,[428643]
mp-1195594,Ba8Sn4S15,[426589]
mp-1195704,CaH2S2N2O9,"[5066, 5193]"
mp-1196506,Zr5Si6H36C12(Br10O3)2,[245733]
mp-1196759,Yb11Bi10,[188740]
mp-1196837,Ca(Al10Cr)2,[606307]
mp-1197129,Na2PH6(SeO)3,[260475]
mp-1197242,Sr5Bi3,[617155]
mp-1198100,Tm2Al2Fe15,[607690]
mp-1198426,K3YSi3O10,[28202]
mp-1198720,Yb2B6Os,[603702]
mp-1198754,ZnSnP14,"[648163, 601339]"
mp-1199315,Lu3Ga2,[634557]
mp-1199395,ZrO3F5,[64616]
mp-1199558,Sm5Ir3,[641047]
mp-1200065,La6Co13Bi,[602536]
mp-1200426,Sr2Fe2P3(O6F)2,[85710]
mp-1200594,Nd23Mg4Pt7,[421136]
mp-1200875,Ba(SbO2)3,[16387]
mp-1200910,Li7H5N4,[180388]
mp-1200994,CoH8C2N4(ClO2)2,[201076]
mp-1201376,ZnIn2(SeO3)4,[263061]
mp-1201519,K2Na2Nd4Nb2O13,[380309]
mp-1201698,CoAsO5,[32025]
mp-1201786,KB3SeO7,[424078]
mp-1202169,NaPr3Ge4O13,[166630]
mp-1202270,Na2VO4,[62002]
mp-1202327,AlCu4SbPb6S2(Cl2O13)2,[30992]
mp-1202624,Ca5P3O13,[50656]
mp-1202773,Rb2InCl5O,[63007]
mp-1203301,CN,[35504]
mp-1203373,Ge22Rh17,[80774]
mp-1203605,Hf21Re25,[600101]
mp-1203791,B2PH20C5N,[260852]
mp-1204034,SbC2SCl3O,[150991]
mp-1204124,LuN3O13,[87623]
mp-1204399,LiAlSiH2O5,"[161497, 161496]"
mp-1204585,Ba4NaAl2B8(ClO6)3,[262881]
mp-1204616,RbLiMoO5,[20860]
mp-1204662,Sr3WO6,[247338]
mp-1204836,RbTa3(TeO6)2,[422202]
mp-1205088,La13Hg58,[639069]
mp-12091,Tl(FeS)2,[633338]
mp-1220,Be5Au,"[611645, 58397, 150580, 611643]"
mp-1237898,Nb3AgTe4,[605595]
mp-12535,K2ZnTe2,[420088]
mp-13673,NaSiAu3,[16462]
mp-14090,TlCuSe2,[28743]
mp-149,Si,"[181356, 60389, 150530, 53782, 426975, 53783, 29287, 51688, 52457, 43610, 182730, 652257, 652265, 659044, 67788, 652258, 60385, 29288, 43403, 60386, 191759, 60388, 76268, 652255, 94261, 52266, 41979, 181355, 181907, 60387]"
mp-15121,RbFe2Te3,[81548]
mp-16000,Cs5Ti6AgSe27,[280563]
mp-17401,Rb3Sn4Au,[107445]
mp-1774,ErB2,"[613706, 613696, 54174]"
mp-1822,TiAs,"[16773, 601817, 44981, 611505]"
mp-1826,Ta3S2,[71143]
mp-18637,Na2Cu3(GeO3)4,[171630]
mp-19765,In2HgTe4,"[639056, 25652]"
mp-20754,LiCeSn2,[102212]
mp-20959,Ce2InGe2,[415108]
mp-21063,U4S3,[38354]
mp-21154,TbMnGe,"[82567, 84094, 82566, 82568]"
mp-21643,UMn5P3,[73309]
mp-2197,BaHg,"[58654, 615923]"
mp-22220,LaLuO3,[51449]
mp-22332,TaInS2,"[74703, 640378]"
mp-22506,Cs6InAs3,[300145]
mp-22571,BaNdMn2O6,"[158890, 150705]"
mp-22980,Li2CoCl4,"[73228, 73227]"
mp-23114,Sr2Co(BrO)2,"[59698, 151789, 151790]"
mp-23120,Cs2NaYCl6,"[245353, 65732, 245354]"
mp-23580,Ba5Co5ClO13,"[99371, 93657]"
mp-23612,K3B6BrO10,"[172400, 250317]"
mp-24357,H3CSO4F3,"[2615, 2393, 2614]"
mp-24565,BaHClO,"[74723, 74721, 74722]"
mp-24720,PuH2,"[638441, 638444, 638442, 56082]"
mp-2483,DyMn2,"[629926, 163470, 602151, 103327, 629918, 103326, 629923, 629934, 81510, 629931, 629922, 629928]"
mp-25288,V2O5,[80594]
mp-25303,FePO4,[155065]
mp-254,NdF3,"[63050, 155557]"
mp-27301,Rb3Au3Cl8,[9578]
mp-27411,TlP5,[15021]
mp-27505,Fe3Sn2,[71]
mp-27583,Sr2P6O17,[14037]
mp-27589,Cu5(PO5)2,[1292]
mp-27603,Ho6(Ga3Co)7,[20260]
mp-27687,LiP7,[23621]
mp-29484,K4HgAs2,[402573]
mp-29510,Hg2TeO3,[203064]
mp-29831,TaCl5,[409433]
mp-30435,BaZn2,[58683]
mp-30574,CsGa7,[102864]
mp-30943,MgPSe3,"[642731, 413165]"
mp-30999,CuCl2,"[66645, 26667]"
mp-31003,B10H13I,[31966]
mp-3303,Ce(AlGa)2,"[55789, 606460, 57576]"
mp-3421,CuCN2,"[161460, 415220, 161461]"
mp-3660,LiB3O5,"[415201, 415199, 84617, 66708, 38206, 1585, 415200]"
mp-3868,Pr6Fe13Ag,"[658936, 54497, 54499, 54500, 54498]"
mp-3999,Y(SiPt)2,"[601235, 649648]"
mp-4287,Sr2SnO4,"[81851, 59759, 59757, 59760, 150383]"
mp-505319,PtF6,[81856]
mp-505467,YSiPd,[408080]
mp-505822,TiSiRu,[57484]
mp-510075,Cs7Au5O2,"[411334, 95821]"
mp-540736,BaCd(PO3)4,[1976]
mp-540981,CsHSO4,"[291375, 291376, 91808, 39252, 66549]"
mp-542728,Co21(B3Mo)2,"[108036, 613167]"
mp-554038,CaTa2O6,[47121]
mp-554778,NaY(SiO3)2,[245656]
mp-555305,NaNb(OF)2,[23238]
mp-555318,K2Zn(SiO3)2,[79705]
mp-555436,S5N2(O2F)4,[81466]
mp-555489,LiY6B3O14,[160603]
mp-555848,H8C3S2,[151286]
mp-556101,BaCoF4,"[26067, 261189]"
mp-557016,TaP4S6Cl5,[419154]
mp-557359,Cs2Al2Sb2O7,[154361]
mp-558550,Ag4Mo2Se3O16,[417618]
mp-558763,Ag2Hg(SeO3)2,[413090]
mp-558796,Ag(Bi2S3)3,[69456]
mp-560548,KNi3As3O11,[280313]
mp-561012,Sr3Cu3(PO4)4,[51713]
mp-567680,BaCl2,[2190]
mp-569086,DyInNi,"[629861, 55846]"
mp-569508,Pr6Cd4Pd13,[417049]
mp-569678,Rh4Pb5,[105609]
mp-570180,YbPt,"[649871, 105847]"
mp-5709,Tl3PO4,"[60780, 23474]"
mp-570947,YbSnAu,[411776]
mp-571624,Dy3Al2,"[191191, 607241]"
mp-579628,Gd2Tl,"[104143, 636491]"
mp-607138,Sc5Bi3,[107590]
mp-608516,CsGaCl4,"[9006, 201670]"
mp-638558,Na10EuSn12,[172209]
mp-640324,TmCuPbSe3,[152520]
mp-6404,BaCa2(PN2)6,"[415714, 415715]"
mp-651726,Ni3P4PbO14,[62483]
mp-6527,Na3Li3In2F12,"[27008, 416927, 416929, 416928, 416926]"
mp-680395,Li3As7,[409657]
mp-6858,RbCS(OF)3,"[415817, 171662]"
mp-703253,RbFeSe2O7,[90415]
mp-707327,Na4Sn2H26Se6O13,[62062]
mp-721564,Na3SiH5O6,[26543]
mp-722880,BaRe2H12C3N6O11,[66755]
mp-7390,SrGe2,[10000]
mp-746672,NiP2H2O7,[98780]
mp-77,S,"[391460, 27261, 27840, 38147, 63082, 63083, 412326, 43251, 200455, 200453, 200454]"
mp-774868,ZnP4O11,[408826]
mp-8145,RbScO2,[31959]
mp-8315,LiSmAlF6,[36538]
mp-8633,Cr,[41505]
mp-867973,Zn3(PO6)2,[27707]
mp-8896,Sr2B4Rh5,[66769]
mp-998980,TiAlFeCo,[191657]
mp-1018098,Ba2BrN,"[262056, 262140]"
mp-1020124,MgSiO3,[5226]
mp-1020670,SrB4O7,[248147]
mp-1025495,NdSi2Rh,[603359]
mp-10560,Sm3AuO6,[411502]
mp-1066522,HgPt3,[24930]
mp-1069956,Ca(SiRh)2,[425469]
mp-1071694,TmZnGa,[635590]
mp-1077305,TlCl2,[20762]
mp-1077466,CaBi2,[659277]
mp-1077866,BaZnBO3F,"[429814, 248042]"
mp-1078086,In2Ni3Se2,"[640140, 640141]"
mp-1079146,Th3Si2,"[652398, 652409]"
mp-1079577,Ni(ClO3)2,[20279]
mp-1079760,Pd3N,[191228]
mp-1080144,Sm(NiSn)2,[646723]
mp-1080453,NdAsRuO,[262832]
mp-1084808,YbAu,[612473]
mp-1086677,Na2SnO6,[27146]
mp-1089,TiIr3,"[104578, 641129, 641131, 641126, 185639]"
mp-1091385,PuAl2Pd5,[166270]
mp-1101867,ZrCuSn,[190123]
mp-1103006,Ni(N3O2)2,"[66835, 30382]"
mp-1103431,Ga2Au,[188889]
mp-1104320,Ti4GaS8,[260772]
mp-1104803,Dy(AlC)3,[606190]
mp-11166,BaZnCO3F2,[95739]
mp-11436,Er(VGa2)2,[103238]
mp-1178745,Y5Pt3,[649842]
mp-1179064,TiOF5,[32676]
mp-1179094,SrH2,[33160]
mp-1179724,RbLi2(H2N)3,[56394]
mp-1181119,Hg2ClO,[16662]
mp-1190294,Zr5Sn3Se,[656302]
mp-1190475,Lu2CoTe2(SO7)2,[238933]
mp-1191378,Tb3SbO7,[191962]
mp-1192472,CuAgPO4,[165596]
mp-1193632,Yb6Cu23,[629447]
mp-1194221,La3Ta(ClO2)3,[62189]
mp-1194995,H36Pb3C10(I5N2)2,[252316]
mp-1195357,K4Yb2Si8O21,[428600]
mp-11958,CaSn2Pd,[410774]
mp-1196510,KVH2SeO7,[183825]
mp-1196661,ErNiSn2,[630883]
mp-1197249,Ho2Fe5Co12,[622917]
mp-1197401,K4B10H4O19,[170594]
mp-1198273,SrP11H28N9,[165624]
mp-1200071,Gd2ZrSe5,"[636413, 636412]"
mp-1200228,HoMnSn2,[639422]
mp-1200704,H14C5SN3ClO2,[250637]
mp-1200839,SiP2H18(C3Cl2)2,[250856]
mp-1201215,H7AuN4O15,[413018]
mp-1201929,BaLa(SbSe3)2,[421269]
mp-1201950,Na3SmMn3(AsO5)3,[249906]
mp-1202574,AgS2(O3F)2,[422414]
mp-1202795,Yb5(Co2Ge5)2,"[425832, 623675]"
mp-1203761,ZnS,[42181]
mp-1204438,Cr6CuSi2(Pb5O17)2,[241129]
mp-1204863,LaB5BrO11,[263067]
mp-1205290,Zn6Ru,[106021]
mp-12264,LiYbF4,[9914]
mp-12355,Sr2YTaO6,"[170683, 247456, 247459]"
mp-1246,Fe4C,[44729]
mp-12466,Fe(PdSe)2,[416515]
mp-13265,ErAgSn,"[417551, 183318]"
mp-13351,RbUAgSe3,[249703]
mp-13478,SmCoSi2,"[625036, 85843]"
mp-13744,Rb3GaO3,[2270]
mp-13772,Li3Pr2(BO3)3,[20217]
mp-1402,SmNi2,"[105349, 105348, 646702, 638391, 646718, 646699, 646717]"
mp-1429,SmCo5,"[625211, 625199, 625198, 625195, 625176, 107255, 625182, 600451, 659058, 625204, 625220, 625178, 625201, 625222, 625167, 625206, 625212, 102667, 625152, 154900, 625162, 247119, 625214, 625179, 192617, 625150]"
mp-14444,Hf(PS3)2,[47228]
mp-14495,Li6ZnO4,[62137]
mp-14786,Ba(Cu2As)4,[66017]
mp-14912,La4Si2Se3O7,[73825]
mp-15039,Ba2Yb(CuO2)4,[78621]
mp-15236,CrSbSe3,[84866]
mp-1646,Li3Hg,"[104309, 639073]"
mp-16501,HfAlPd2,[57906]
mp-16793,Be3Cd4Si3SeO12,[81486]
mp-16866,KNpN3O11,[95922]
mp-17008,CaTeO3,[260238]
mp-17064,Gd2Sn2O7,[84753]
mp-17120,Cs6K3AlSb4,[300152]
mp-1726,KO3,"[28347, 180567, 202496, 47163]"
mp-17466,Hf5Sb3,[410750]
mp-17468,SrZrSi2O7,[75272]
mp-17841,Mg4Nb2O9,[91748]
mp-18460,K2Si6GeO15,[39553]
mp-18868,RbFe(MoO4)2,"[250409, 245665]"
mp-19015,VCrMoO7,"[408563, 85712]"
mp-19759,BaYCo2O5,"[171433, 171432, 247220, 171435, 171434]"
mp-20274,Co2P2O7,"[203161, 280959, 2830]"
mp-20747,LiSi3Pd,[39861]
mp-20767,Fe(SbS2)2,"[185792, 185793, 79675, 185798, 69548, 185794, 93911, 93912, 16908, 633308, 633305, 185797, 185796, 56378, 185795]"
mp-21200,PuGa2,"[635181, 103937, 103938]"
mp-21849,Eu(SiIr)2,"[631359, 414147, 631364, 631357]"
mp-22219,Fe2Cu2Ge4O13,"[97535, 240625, 240617, 240622, 240614, 240613, 240618, 240621, 240620, 240619, 240616, 240623, 240609, 240624, 240610, 240611, 240612, 240615]"
mp-22902,LiBi,"[58796, 616780]"
mp-23020,BiSeI,"[280311, 163218]"
mp-23079,SiCl2O,"[54028, 71445]"
mp-23154,Br,"[201695, 201692, 24019, 426930, 201694, 201693]"
mp-23321,Sr4Cl6O,"[402497, 82502]"
mp-23431,CsCu2I3,"[38037, 150305]"
mp-23513,K2PtCl6,"[280458, 52033, 52037, 68765, 2582, 280465, 52036, 52034, 31114, 280464, 280468, 52039, 68766, 280460, 36304, 280463, 52038, 280461, 52035, 280462, 2583, 280467, 82376, 280466, 82375, 280459, 48137]"
mp-23818,BaLiH3,"[22315, 416463]"
mp-2491,ErSe,"[631103, 53418, 631118, 631110, 600371]"
mp-2620,DySi,"[180209, 164013, 180213, 164011, 180210, 164015, 164017, 180212, 154699, 180214, 180225, 180211, 630281]"
mp-27144,TlPO3,[2139]
mp-28110,Rb2PtI6,[37191]
mp-28701,CsSbS6,[67977]
mp-2877,Nd(CuSi)2,"[628536, 106842, 164070]"
mp-28884,Cs(FeAs)2,[74877]
mp-29375,Na3InS3,[300165]
mp-29861,K2Mn3S4,[411172]
mp-30027,RbCrCl3,[56837]
mp-30142,Be4N6O19,[92596]
mp-30459,ScNiBi,[58824]
mp-30545,Mg2VO4,[76980]
mp-31480,Ca3(GaPd)2,[107507]
mp-3570,NdPPd,"[54285, 57431]"
mp-4106,YbSnPd,"[408409, 151166]"
mp-4417,Al2(SO4)3,"[32589, 39003, 73249]"
mp-4502,Ta6Si7Ni16,"[109219, 159265, 646603, 646599]"
mp-505647,KGd(WO4)2,"[87720, 280569]"
mp-540696,Ca3(SiAs2)2,[16456]
mp-541023,CaFe3Si2HO9,"[4358, 62413]"
mp-542188,Cr(MoS2)2,[626322]
mp-542664,Ce2SiSeO4,[59941]
mp-550468,Co2P2O7,[59291]
mp-552941,Na4CO4,"[245416, 245415]"
mp-555000,MgH2(CO2)2,"[238580, 249195]"
mp-556345,Ag2BrNO3,[1311]
mp-559036,NaMo2P3O13,[69086]
mp-559104,Pr4B10O21,[417553]
mp-559600,LiMo2AsO9,[170039]
mp-559646,KCS(OF)3,[94425]
mp-560374,YbNdS3,"[645883, 660173, 2062]"
mp-560657,RbLa9(IrO6)4,[171323]
mp-561620,Ag3AsS3,"[36352, 40127]"
mp-567157,Ba7Na5Li3N3,[418456]
mp-567692,Y3Ni4B4C3,[95231]
mp-569320,Sm3Ge5,[416581]
mp-569461,HgN6,"[426342, 21029, 426341]"
mp-571637,K2Cd2Te3,[420089]
mp-573390,Np2Si4Mo3,[80524]
mp-581167,Ba2CaV2CuF14,[419544]
mp-581678,LiEu2Si3,[416629]
mp-583724,Yb7Al5Ge8,[76360]
mp-5840,LiScO2,"[36124, 31316]"
mp-5884,TmPO4,"[184548, 36053, 79759]"
mp-592,TiRu,"[150936, 106004, 106005, 650738, 650737]"
mp-617281,In4Te3,"[182783, 182781, 182785, 41972, 79122, 79121, 182790, 14265, 182787]"
mp-619128,V6PbO11,"[93597, 82275]"
mp-627640,Eu(ClO4)3,"[89502, 51126]"
mp-644221,H3CSClO,[107497]
mp-667349,Sr3U11O36,[80599]
mp-669304,Cs3Tb2Br9,"[203109, 203112]"
mp-6782,Li2ZrTeO6,"[71488, 202648, 71489]"
mp-696396,NaHCO3,"[26933, 18183]"
mp-7017,NaNbN2,"[72557, 657407]"
mp-722348,RbP(HO2)2,[47189]
mp-740759,Yb19(Mg4H27)2,[79997]
mp-7502,K2Sn2O3,[15511]
mp-7576,CrSi,"[16837, 626772, 182503, 626791]"
mp-761898,Sb3H18C6N,[410167]
mp-766269,ZnPH5C2N4O3,[280558]
mp-770968,Na3NiPCO7,[237798]
mp-7831,MgIn2O4,[157770]
mp-8154,La2Ti2O7,[32537]
mp-8212,Cd(PtO2)3,[35407]
mp-836,TbZn,"[653003, 653001, 106134, 653005, 652990, 653007, 653004, 652989, 106135, 106136, 653006]"
mp-8431,Ca(BRh)2,[49737]
mp-8597,ScB2C,[54104]
mp-861587,Pr2In8Pd,[180116]
mp-866516,Ce3AlCrS7,[606421]
mp-867261,RbSrCO3F,[262233]
mp-867294,U3(PO9)2,[51726]
mp-8966,K2Sn2Se5,[72379]
mp-8969,Mg2Ni3P,[72409]
mp-9275,Th2Ta6O19,[78983]
mp-9712,Ba3BPO3,[402017]
mp-973571,Lu,[642415]
mp-983519,SnH22C6(NCl2)2,[261582]
mp-9953,HfP,[42914]
mp-1007666,HoAu,[611986]
mp-1056920,CsI,"[5422, 53835, 53849, 44938, 56523, 56522, 9204, 60498, 44291, 56524]"
mp-1060982,CsB,[27864]
mp-1065668,GdNiC2,"[617952, 617949]"
mp-10677,CaPAu,[52661]
mp-10686,Li2CdGe,[52803]
mp-1072544,Si,[189392]
mp-1072794,CaZnPb,[659603]
mp-1079292,CuPb2(ClO2)2,"[24737, 15382]"
mp-1079418,LiH2N,[237205]
mp-1095197,SmCdGa,[619904]
mp-1102073,SrCdPt,[237728]
mp-1103249,Ho3(CuSn)4,[192465]
mp-1103294,SnCNCl3,[110664]
mp-1103397,BaSnF4,[166207]
mp-1104197,BaYbFe4O7,[251004]
mp-1104547,HoGa3Ru,[634401]
mp-1104707,Na(GeP)3,[184000]
mp-1105893,La3Cu3Bi4,[167250]
mp-1106008,SmFe4(CuO4)3,"[237402, 237415]"
mp-11490,Li2ZnSn,[104787]
mp-1154,Ho4C7,[74817]
mp-11584,Lu8Te,[97006]
mp-1178678,YH3,"[246319, 246321]"
mp-1181396,FeP3O11,[961]
mp-1188548,K2ReCl5O,[23915]
mp-1189669,Rb3YN6,[201153]
mp-1190028,TmAl3Ni2,[608914]
mp-1190301,Ba(ClO)2,"[27980, 200938]"
mp-1192912,La3RuBr3,[248921]
mp-1193241,Hf6Al16Pd7,[608137]
mp-1193786,Eu11(ZnSb2)6,[419343]
mp-1194809,Rb8Cu6As8S19,[238193]
mp-1195813,NbBr5N2,[59121]
mp-1195888,S5N3,[28421]
mp-1196316,Cr7C3,[52289]
mp-1196347,Nd3Ge13Ru4,[637328]
mp-1196685,K2SIO7,"[32620, 61182]"
mp-1197144,Y(Ga5Mo)8,[634714]
mp-1197402,FeTeO5,[6310]
mp-1198358,B2Pb6WO12,"[186153, 261534, 186154]"
mp-1198864,CrSO6,[26550]
mp-1201822,ZnFe4NiO8,[182241]
mp-1202195,Pr2ZrS5,[649305]
mp-1202511,Cs2Mo4O13,[186296]
mp-1204335,Mg(PO5)2,[108967]
mp-1205354,Sc2Se3,[651804]
mp-1205373,Y6CoBr10,[424465]
mp-1205382,Ba3YIr2O9,[16365]
mp-12418,SrCaGe,[172006]
mp-12803,BaEr2F8,[151699]
mp-1320,CeSe2,"[27020, 108266, 52908, 108265]"
mp-13230,K3YF6,[416296]
mp-13929,Ba2SmReO6,[25393]
mp-14411,K4GeO4,[37271]
mp-1456,Fe2O3,"[70048, 172906]"
mp-1458,Nb3Ir,"[640840, 640833, 104512, 640832]"
mp-17054,Cs3TaS4,[59868]
mp-17289,CoMoO4,[23808]
mp-17479,NaVP2O7,[65696]
mp-17707,Cs3Na2SnP3,[50533]
mp-17830,Rb3Ge4Au,[413724]
mp-17872,Ba(YTe2)2,[90335]
mp-17954,BaCu2SnS4,[52685]
mp-18463,RbZnPO4,"[195588, 71778]"
mp-1853,Sr3P14,"[648173, 42461]"
mp-18571,BaCrO4,[62560]
mp-18908,Sr2NiTeO6,[155949]
mp-18971,Mn(PtO2)3,[35337]
mp-19017,LiFePO4,"[193799, 193800, 194331, 193797, 260570, 166815, 185308, 290336, 155635, 190772, 189057, 184652, 290334, 159107, 38209, 260571, 181342, 290335, 290719, 161479, 290339, 260572, 183874, 290718, 184863, 165000, 154117, 181341, 160776, 155580, 97764, 200155, 181272, 184862, 72545, 92198, 162282, 190771, 99860, 56291, 153699, 260569]"
mp-19724,Cu3Ge,"[53266, 86004, 627678, 86003, 86006, 86007]"
mp-19728,YSiRh,"[650347, 32562]"
mp-19810,TaNiTe2,[71063]
mp-19914,RbGdTe4,[391206]
mp-20177,Pu(FeSi)2,"[604290, 602683, 106961]"
mp-20664,Mn2Sb,"[174032, 42325, 643526, 643508, 415627, 45688, 190141, 643518, 76214, 643534]"
mp-20857,CoB,"[612863, 30450, 612883]"
mp-21060,NaFeO2,"[158330, 33772, 27804, 33763, 68984, 186309, 33766, 33770, 33764, 33765, 33767, 33771, 27117]"
