,composition,Atoms
581,Rb1Pb4I9,"[1, 4, 9]"
582,Rb1Pb5I11,"[1, 5, 11]"
583,Rb1Pb6I13,"[1, 6, 13]"
584,Rb2Pb1I1,"[2, 1, 1]"
585,Rb2Pb1I4,"[2, 1, 4]"
586,Rb2Pb3I8,"[2, 3, 8]"
587,Rb2Pb5I12,"[2, 5, 12]"
588,Rb3Pb1I2,"[3, 1, 2]"
589,Rb3Pb1I5,"[3, 1, 5]"
590,Rb3Pb2I1,"[3, 2, 1]"
591,Rb3Pb2I7,"[3, 2, 7]"
592,Rb3Pb4I11,"[3, 4, 11]"
593,Rb4Pb1I3,"[4, 1, 3]"
594,Rb4Pb1I6,"[4, 1, 6]"
595,Rb4Pb3I1,"[4, 3, 1]"
596,Rb4Pb3I10,"[4, 3, 10]"
597,Rb5Pb1I4,"[5, 1, 4]"
598,Rb5Pb1I7,"[5, 1, 7]"
599,Rb5Pb2I3,"[5, 2, 3]"
600,Rb5Pb2I9,"[5, 2, 9]"
601,Rb5Pb3I2,"[5, 3, 2]"
602,Rb5Pb3I11,"[5, 3, 11]"
603,Rb5Pb4I1,"[5, 4, 1]"
604,Rb6Pb1I5,"[6, 1, 5]"
605,Rb6Pb1I8,"[6, 1, 8]"
606,Rb6Pb5I1,"[6, 5, 1]"
607,Rb7Pb1I6,"[7, 1, 6]"
608,Rb7Pb1I9,"[7, 1, 9]"
609,Rb7Pb2I5,"[7, 2, 5]"
610,Rb7Pb2I11,"[7, 2, 11]"
611,Rb7Pb3I4,"[7, 3, 4]"
612,Rb7Pb4I3,"[7, 4, 3]"
613,Rb7Pb5I2,"[7, 5, 2]"
614,Rb7Pb6I1,"[7, 6, 1]"
615,Rb8Pb1I7,"[8, 1, 7]"
616,Rb8Pb1I10,"[8, 1, 10]"
617,Rb8Pb3I5,"[8, 3, 5]"
618,Rb8Pb5I3,"[8, 5, 3]"
619,Rb8Pb7I1,"[8, 7, 1]"
620,Rb9Pb1I8,"[9, 1, 8]"
621,Rb9Pb2I7,"[9, 2, 7]"
622,Rb9Pb4I5,"[9, 4, 5]"
623,Rb9Pb5I4,"[9, 5, 4]"
624,Rb9Pb7I2,"[9, 7, 2]"
625,Rb9Pb8I1,"[9, 8, 1]"
626,Rb10Pb1I9,"[10, 1, 9]"
627,Rb10Pb3I7,"[10, 3, 7]"
628,Rb10Pb7I3,"[10, 7, 3]"
629,Rb10Pb9I1,"[10, 9, 1]"
630,Rb1Sb1Br4,"[1, 1, 4]"
631,Rb1Sb2Br7,"[1, 2, 7]"
632,Rb1Sb3Br10,"[1, 3, 10]"
633,Rb1Sb4Br13,"[1, 4, 13]"
634,Rb2Sb1Br5,"[2, 1, 5]"
635,Rb2Sb3Br11,"[2, 3, 11]"
636,Rb3Sb1Br6,"[3, 1, 6]"
637,Rb3Sb2Br9,"[3, 2, 9]"
638,Rb4Sb1Br1,"[4, 1, 1]"
639,Rb4Sb1Br7,"[4, 1, 7]"
640,Rb4Sb3Br13,"[4, 3, 13]"
641,Rb5Sb1Br2,"[5, 1, 2]"
642,Rb5Sb1Br8,"[5, 1, 8]"
643,Rb5Sb2Br11,"[5, 2, 11]"
644,Rb6Sb1Br3,"[6, 1, 3]"
645,Rb6Sb1Br9,"[6, 1, 9]"
646,Rb7Sb1Br4,"[7, 1, 4]"
647,Rb7Sb1Br10,"[7, 1, 10]"
648,Rb7Sb2Br1,"[7, 2, 1]"
649,Rb8Sb1Br5,"[8, 1, 5]"
650,Rb8Sb1Br11,"[8, 1, 11]"
651,Rb9Sb1Br6,"[9, 1, 6]"
652,Rb9Sb2Br3,"[9, 2, 3]"
653,Rb10Sb1Br7,"[10, 1, 7]"
654,Rb10Sb3Br1,"[10, 3, 1]"
655,Rb11Sb1Br8,"[11, 1, 8]"
656,Rb11Sb2Br5,"[11, 2, 5]"
657,Rb11Sb3Br2,"[11, 3, 2]"
658,Rb13Sb3Br4,"[13, 3, 4]"
659,Rb13Sb4Br1,"[13, 4, 1]"
660,Rb1Sb1I4,"[1, 1, 4]"
661,Rb1Sb2I7,"[1, 2, 7]"
662,Rb1Sb3I10,"[1, 3, 10]"
663,Rb1Sb4I13,"[1, 4, 13]"
664,Rb2Sb1I5,"[2, 1, 5]"
665,Rb2Sb3I11,"[2, 3, 11]"
666,Rb3Sb1I6,"[3, 1, 6]"
667,Rb3Sb2I9,"[3, 2, 9]"
668,Rb4Sb1I1,"[4, 1, 1]"
669,Rb4Sb1I7,"[4, 1, 7]"
670,Rb4Sb3I13,"[4, 3, 13]"
671,Rb5Sb1I2,"[5, 1, 2]"
672,Rb5Sb1I8,"[5, 1, 8]"
673,Rb5Sb2I11,"[5, 2, 11]"
674,Rb6Sb1I3,"[6, 1, 3]"
675,Rb6Sb1I9,"[6, 1, 9]"
676,Rb7Sb1I4,"[7, 1, 4]"
677,Rb7Sb1I10,"[7, 1, 10]"
678,Rb7Sb2I1,"[7, 2, 1]"
679,Rb8Sb1I5,"[8, 1, 5]"
680,Rb8Sb1I11,"[8, 1, 11]"
681,Rb9Sb1I6,"[9, 1, 6]"
682,Rb9Sb2I3,"[9, 2, 3]"
683,Rb10Sb1I7,"[10, 1, 7]"
684,Rb10Sb3I1,"[10, 3, 1]"
685,Rb11Sb1I8,"[11, 1, 8]"
686,Rb11Sb2I5,"[11, 2, 5]"
687,Rb11Sb3I2,"[11, 3, 2]"
688,Rb13Sb3I4,"[13, 3, 4]"
689,Rb13Sb4I1,"[13, 4, 1]"
690,Rb1Sn1Br5,"[1, 1, 5]"
691,Rb1Sn2Br9,"[1, 2, 9]"
692,Rb1Sn3Br13,"[1, 3, 13]"
693,Rb2Sn1Br6,"[2, 1, 6]"
694,Rb2Sn3Br14,"[2, 3, 14]"
695,Rb3Sn1Br7,"[3, 1, 7]"
696,Rb3Sn2Br11,"[3, 2, 11]"
697,Rb4Sn1Br8,"[4, 1, 8]"
698,Rb5Sn1Br9,"[5, 1, 9]"
699,Rb5Sn2Br13,"[5, 2, 13]"
700,Rb6Sn1Br10,"[6, 1, 10]"
701,Rb7Sn1Br11,"[7, 1, 11]"
702,Rb1Sn1I5,"[1, 1, 5]"
703,Rb1Sn2I9,"[1, 2, 9]"
704,Rb1Sn3I13,"[1, 3, 13]"
705,Rb2Sn1I6,"[2, 1, 6]"
706,Rb2Sn3I14,"[2, 3, 14]"
707,Rb3Sn1I7,"[3, 1, 7]"
708,Rb3Sn2I11,"[3, 2, 11]"
709,Rb4Sn1I8,"[4, 1, 8]"
710,Rb5Sn1I9,"[5, 1, 9]"
711,Rb5Sn2I13,"[5, 2, 13]"
712,Rb6Sn1I10,"[6, 1, 10]"
713,Rb7Sn1I11,"[7, 1, 11]"
714,Rb1In1Br4,"[1, 1, 4]"
715,Rb1In2Br7,"[1, 2, 7]"
716,Rb1In3Br10,"[1, 3, 10]"
717,Rb1In4Br13,"[1, 4, 13]"
718,Rb2In1Br5,"[2, 1, 5]"
719,Rb2In3Br11,"[2, 3, 11]"
720,Rb3In1Br6,"[3, 1, 6]"
721,Rb3In2Br9,"[3, 2, 9]"
722,Rb4In1Br7,"[4, 1, 7]"
723,Rb4In3Br13,"[4, 3, 13]"
724,Rb5In1Br8,"[5, 1, 8]"
725,Rb5In2Br11,"[5, 2, 11]"
726,Rb6In1Br9,"[6, 1, 9]"
727,Rb7In1Br10,"[7, 1, 10]"
728,Rb8In1Br11,"[8, 1, 11]"
729,Rb1In1I4,"[1, 1, 4]"
730,Rb1In2I7,"[1, 2, 7]"
731,Rb1In3I10,"[1, 3, 10]"
732,Rb1In4I13,"[1, 4, 13]"
733,Rb2In1I5,"[2, 1, 5]"
734,Rb2In3I11,"[2, 3, 11]"
735,Rb3In1I6,"[3, 1, 6]"
736,Rb3In2I9,"[3, 2, 9]"
737,Rb4In1I7,"[4, 1, 7]"
738,Rb4In3I13,"[4, 3, 13]"
739,Rb5In1I8,"[5, 1, 8]"
740,Rb5In2I11,"[5, 2, 11]"
741,Rb6In1I9,"[6, 1, 9]"
742,Rb7In1I10,"[7, 1, 10]"
743,Rb8In1I11,"[8, 1, 11]"
744,Cs1Bi1Br4,"[1, 1, 4]"
745,Cs1Bi2Br7,"[1, 2, 7]"
746,Cs1Bi3Br10,"[1, 3, 10]"
747,Cs1Bi4Br13,"[1, 4, 13]"
748,Cs2Bi1Br5,"[2, 1, 5]"
749,Cs2Bi3Br11,"[2, 3, 11]"
750,Cs3Bi1Br6,"[3, 1, 6]"
751,Cs3Bi2Br9,"[3, 2, 9]"
752,Cs4Bi1Br7,"[4, 1, 7]"
753,Cs4Bi3Br13,"[4, 3, 13]"
754,Cs5Bi1Br8,"[5, 1, 8]"
755,Cs5Bi2Br11,"[5, 2, 11]"
756,Cs6Bi1Br9,"[6, 1, 9]"
757,Cs7Bi1Br10,"[7, 1, 10]"
758,Cs8Bi1Br11,"[8, 1, 11]"
759,Cs1Bi1I4,"[1, 1, 4]"
760,Cs1Bi2I7,"[1, 2, 7]"
761,Cs1Bi3I10,"[1, 3, 10]"
762,Cs1Bi4I13,"[1, 4, 13]"
763,Cs2Bi1I5,"[2, 1, 5]"
764,Cs2Bi3I11,"[2, 3, 11]"
765,Cs3Bi1I6,"[3, 1, 6]"
766,Cs3Bi2I9,"[3, 2, 9]"
767,Cs4Bi1I7,"[4, 1, 7]"
768,Cs4Bi3I13,"[4, 3, 13]"
769,Cs5Bi1I8,"[5, 1, 8]"
770,Cs5Bi2I11,"[5, 2, 11]"
771,Cs6Bi1I9,"[6, 1, 9]"
772,Cs7Bi1I10,"[7, 1, 10]"
773,Cs8Bi1I11,"[8, 1, 11]"
774,Cs1Pb1Br3,"[1, 1, 3]"
775,Cs1Pb2Br5,"[1, 2, 5]"
776,Cs1Pb3Br7,"[1, 3, 7]"
777,Cs1Pb4Br9,"[1, 4, 9]"
778,Cs1Pb5Br11,"[1, 5, 11]"
779,Cs1Pb6Br13,"[1, 6, 13]"
780,Cs2Pb1Br1,"[2, 1, 1]"
781,Cs2Pb1Br4,"[2, 1, 4]"
782,Cs2Pb3Br8,"[2, 3, 8]"
783,Cs2Pb5Br12,"[2, 5, 12]"
784,Cs3Pb1Br2,"[3, 1, 2]"
785,Cs3Pb1Br5,"[3, 1, 5]"
786,Cs3Pb2Br1,"[3, 2, 1]"
787,Cs3Pb2Br7,"[3, 2, 7]"
788,Cs3Pb4Br11,"[3, 4, 11]"
789,Cs4Pb1Br3,"[4, 1, 3]"
790,Cs4Pb1Br6,"[4, 1, 6]"
791,Cs4Pb3Br1,"[4, 3, 1]"
792,Cs4Pb3Br10,"[4, 3, 10]"
793,Cs5Pb1Br4,"[5, 1, 4]"
794,Cs5Pb1Br7,"[5, 1, 7]"
795,Cs5Pb2Br3,"[5, 2, 3]"
796,Cs5Pb2Br9,"[5, 2, 9]"
797,Cs5Pb3Br2,"[5, 3, 2]"
798,Cs5Pb3Br11,"[5, 3, 11]"
799,Cs5Pb4Br1,"[5, 4, 1]"
800,Cs6Pb1Br5,"[6, 1, 5]"
801,Cs6Pb1Br8,"[6, 1, 8]"
802,Cs6Pb5Br1,"[6, 5, 1]"
803,Cs7Pb1Br6,"[7, 1, 6]"
804,Cs7Pb1Br9,"[7, 1, 9]"
805,Cs7Pb2Br5,"[7, 2, 5]"
806,Cs7Pb2Br11,"[7, 2, 11]"
807,Cs7Pb3Br4,"[7, 3, 4]"
808,Cs7Pb4Br3,"[7, 4, 3]"
809,Cs7Pb5Br2,"[7, 5, 2]"
810,Cs7Pb6Br1,"[7, 6, 1]"
811,Cs8Pb1Br7,"[8, 1, 7]"
812,Cs8Pb1Br10,"[8, 1, 10]"
813,Cs8Pb3Br5,"[8, 3, 5]"
814,Cs8Pb5Br3,"[8, 5, 3]"
815,Cs8Pb7Br1,"[8, 7, 1]"
816,Cs9Pb1Br8,"[9, 1, 8]"
817,Cs9Pb2Br7,"[9, 2, 7]"
818,Cs9Pb4Br5,"[9, 4, 5]"
819,Cs9Pb5Br4,"[9, 5, 4]"
820,Cs9Pb7Br2,"[9, 7, 2]"
821,Cs9Pb8Br1,"[9, 8, 1]"
822,Cs10Pb1Br9,"[10, 1, 9]"
823,Cs10Pb3Br7,"[10, 3, 7]"
824,Cs10Pb7Br3,"[10, 7, 3]"
825,Cs10Pb9Br1,"[10, 9, 1]"
826,Cs1Pb1I3,"[1, 1, 3]"
827,Cs1Pb2I5,"[1, 2, 5]"
828,Cs1Pb3I7,"[1, 3, 7]"
829,Cs1Pb4I9,"[1, 4, 9]"
830,Cs1Pb5I11,"[1, 5, 11]"
831,Cs1Pb6I13,"[1, 6, 13]"
832,Cs2Pb1I1,"[2, 1, 1]"
833,Cs2Pb1I4,"[2, 1, 4]"
834,Cs2Pb3I8,"[2, 3, 8]"
835,Cs2Pb5I12,"[2, 5, 12]"
836,Cs3Pb1I2,"[3, 1, 2]"
837,Cs3Pb1I5,"[3, 1, 5]"
838,Cs3Pb2I1,"[3, 2, 1]"
839,Cs3Pb2I7,"[3, 2, 7]"
840,Cs3Pb4I11,"[3, 4, 11]"
841,Cs4Pb1I3,"[4, 1, 3]"
842,Cs4Pb1I6,"[4, 1, 6]"
843,Cs4Pb3I1,"[4, 3, 1]"
844,Cs4Pb3I10,"[4, 3, 10]"
845,Cs5Pb1I4,"[5, 1, 4]"
846,Cs5Pb1I7,"[5, 1, 7]"
847,Cs5Pb2I3,"[5, 2, 3]"
848,Cs5Pb2I9,"[5, 2, 9]"
849,Cs5Pb3I2,"[5, 3, 2]"
850,Cs5Pb3I11,"[5, 3, 11]"
851,Cs5Pb4I1,"[5, 4, 1]"
852,Cs6Pb1I5,"[6, 1, 5]"
853,Cs6Pb1I8,"[6, 1, 8]"
854,Cs6Pb5I1,"[6, 5, 1]"
855,Cs7Pb1I6,"[7, 1, 6]"
856,Cs7Pb1I9,"[7, 1, 9]"
857,Cs7Pb2I5,"[7, 2, 5]"
858,Cs7Pb2I11,"[7, 2, 11]"
859,Cs7Pb3I4,"[7, 3, 4]"
860,Cs7Pb4I3,"[7, 4, 3]"
861,Cs7Pb5I2,"[7, 5, 2]"
862,Cs7Pb6I1,"[7, 6, 1]"
863,Cs8Pb1I7,"[8, 1, 7]"
864,Cs8Pb1I10,"[8, 1, 10]"
865,Cs8Pb3I5,"[8, 3, 5]"
866,Cs8Pb5I3,"[8, 5, 3]"
867,Cs8Pb7I1,"[8, 7, 1]"
868,Cs9Pb1I8,"[9, 1, 8]"
869,Cs9Pb2I7,"[9, 2, 7]"
870,Cs9Pb4I5,"[9, 4, 5]"
871,Cs9Pb5I4,"[9, 5, 4]"
872,Cs9Pb7I2,"[9, 7, 2]"
873,Cs9Pb8I1,"[9, 8, 1]"
874,Cs10Pb1I9,"[10, 1, 9]"
875,Cs10Pb3I7,"[10, 3, 7]"
876,Cs10Pb7I3,"[10, 7, 3]"
877,Cs10Pb9I1,"[10, 9, 1]"
878,Cs1Sb1Br4,"[1, 1, 4]"
879,Cs1Sb2Br7,"[1, 2, 7]"
880,Cs1Sb3Br10,"[1, 3, 10]"
881,Cs1Sb4Br13,"[1, 4, 13]"
882,Cs2Sb1Br5,"[2, 1, 5]"
883,Cs2Sb3Br11,"[2, 3, 11]"
884,Cs3Sb1Br6,"[3, 1, 6]"
885,Cs3Sb2Br9,"[3, 2, 9]"
886,Cs4Sb1Br1,"[4, 1, 1]"
887,Cs4Sb1Br7,"[4, 1, 7]"
888,Cs4Sb3Br13,"[4, 3, 13]"
889,Cs5Sb1Br2,"[5, 1, 2]"
890,Cs5Sb1Br8,"[5, 1, 8]"
891,Cs5Sb2Br11,"[5, 2, 11]"
892,Cs6Sb1Br3,"[6, 1, 3]"
893,Cs6Sb1Br9,"[6, 1, 9]"
894,Cs7Sb1Br4,"[7, 1, 4]"
895,Cs7Sb1Br10,"[7, 1, 10]"
896,Cs7Sb2Br1,"[7, 2, 1]"
897,Cs8Sb1Br5,"[8, 1, 5]"
898,Cs8Sb1Br11,"[8, 1, 11]"
899,Cs9Sb1Br6,"[9, 1, 6]"
900,Cs9Sb2Br3,"[9, 2, 3]"
901,Cs10Sb1Br7,"[10, 1, 7]"
902,Cs10Sb3Br1,"[10, 3, 1]"
903,Cs11Sb1Br8,"[11, 1, 8]"
904,Cs11Sb2Br5,"[11, 2, 5]"
905,Cs11Sb3Br2,"[11, 3, 2]"
906,Cs13Sb3Br4,"[13, 3, 4]"
907,Cs13Sb4Br1,"[13, 4, 1]"
908,Cs1Sb1I4,"[1, 1, 4]"
909,Cs1Sb2I7,"[1, 2, 7]"
910,Cs1Sb3I10,"[1, 3, 10]"
911,Cs1Sb4I13,"[1, 4, 13]"
912,Cs2Sb1I5,"[2, 1, 5]"
913,Cs2Sb3I11,"[2, 3, 11]"
914,Cs3Sb1I6,"[3, 1, 6]"
915,Cs3Sb2I9,"[3, 2, 9]"
916,Cs4Sb1I1,"[4, 1, 1]"
917,Cs4Sb1I7,"[4, 1, 7]"
918,Cs4Sb3I13,"[4, 3, 13]"
919,Cs5Sb1I2,"[5, 1, 2]"
920,Cs5Sb1I8,"[5, 1, 8]"
921,Cs5Sb2I11,"[5, 2, 11]"
922,Cs6Sb1I3,"[6, 1, 3]"
923,Cs6Sb1I9,"[6, 1, 9]"
924,Cs7Sb1I4,"[7, 1, 4]"
925,Cs7Sb1I10,"[7, 1, 10]"
926,Cs7Sb2I1,"[7, 2, 1]"
927,Cs8Sb1I5,"[8, 1, 5]"
928,Cs8Sb1I11,"[8, 1, 11]"
929,Cs9Sb1I6,"[9, 1, 6]"
930,Cs9Sb2I3,"[9, 2, 3]"
931,Cs10Sb1I7,"[10, 1, 7]"
932,Cs10Sb3I1,"[10, 3, 1]"
933,Cs11Sb1I8,"[11, 1, 8]"
934,Cs11Sb2I5,"[11, 2, 5]"
935,Cs11Sb3I2,"[11, 3, 2]"
936,Cs13Sb3I4,"[13, 3, 4]"
937,Cs13Sb4I1,"[13, 4, 1]"
938,Cs1Sn1Br5,"[1, 1, 5]"
939,Cs1Sn2Br9,"[1, 2, 9]"
940,Cs1Sn3Br13,"[1, 3, 13]"
941,Cs2Sn1Br6,"[2, 1, 6]"
942,Cs2Sn3Br14,"[2, 3, 14]"
943,Cs3Sn1Br7,"[3, 1, 7]"
944,Cs3Sn2Br11,"[3, 2, 11]"
945,Cs4Sn1Br8,"[4, 1, 8]"
946,Cs5Sn1Br9,"[5, 1, 9]"
947,Cs5Sn2Br13,"[5, 2, 13]"
948,Cs6Sn1Br10,"[6, 1, 10]"
949,Cs7Sn1Br11,"[7, 1, 11]"
950,Cs1Sn1I5,"[1, 1, 5]"
951,Cs1Sn2I9,"[1, 2, 9]"
952,Cs1Sn3I13,"[1, 3, 13]"
953,Cs2Sn1I6,"[2, 1, 6]"
954,Cs2Sn3I14,"[2, 3, 14]"
955,Cs3Sn1I7,"[3, 1, 7]"
956,Cs3Sn2I11,"[3, 2, 11]"
957,Cs4Sn1I8,"[4, 1, 8]"
958,Cs5Sn1I9,"[5, 1, 9]"
959,Cs5Sn2I13,"[5, 2, 13]"
960,Cs6Sn1I10,"[6, 1, 10]"
961,Cs7Sn1I11,"[7, 1, 11]"
962,Cs1In1Br4,"[1, 1, 4]"
963,Cs1In2Br7,"[1, 2, 7]"
964,Cs1In3Br10,"[1, 3, 10]"
965,Cs1In4Br13,"[1, 4, 13]"
966,Cs2In1Br5,"[2, 1, 5]"
967,Cs2In3Br11,"[2, 3, 11]"
968,Cs3In1Br6,"[3, 1, 6]"
969,Cs3In2Br9,"[3, 2, 9]"
970,Cs4In1Br7,"[4, 1, 7]"
971,Cs4In3Br13,"[4, 3, 13]"
972,Cs5In1Br8,"[5, 1, 8]"
973,Cs5In2Br11,"[5, 2, 11]"
974,Cs6In1Br9,"[6, 1, 9]"
975,Cs7In1Br10,"[7, 1, 10]"
976,Cs8In1Br11,"[8, 1, 11]"
977,Cs1In1I4,"[1, 1, 4]"
978,Cs1In2I7,"[1, 2, 7]"
979,Cs1In3I10,"[1, 3, 10]"
980,Cs1In4I13,"[1, 4, 13]"
981,Cs2In1I5,"[2, 1, 5]"
982,Cs2In3I11,"[2, 3, 11]"
983,Cs3In1I6,"[3, 1, 6]"
984,Cs3In2I9,"[3, 2, 9]"
985,Cs4In1I7,"[4, 1, 7]"
986,Cs4In3I13,"[4, 3, 13]"
987,Cs5In1I8,"[5, 1, 8]"
988,Cs5In2I11,"[5, 2, 11]"
989,Cs6In1I9,"[6, 1, 9]"
990,Cs7In1I10,"[7, 1, 10]"
991,Cs8In1I11,"[8, 1, 11]"
